

2025-11-04 16:53:03,722 - src.transcription.providers.faster_whisper_provider - INFO - Transcription complete: 25016 chars, 1885.85s audio, 668.03s processing, language=ru, RTF=0.35x
2025-11-04 16:53:03,723 - src.services.progress_tracker - INFO - Progress tracker stopped




root@ikkuqhnpjt:/opt/telegram-voice2text-bot# while true; do   echo "$(date '+%H:%M:%S') $(docker stats telegram-voice2text-bot --no-stream --format 'CPU: {{.CPUPerc}} | MEM: {{.MemUsage}} ({{.MemPerc}}) | NET: {{.NetIO}} | DISK: {{.BlockIO}} | PIDs: {{.PIDs}}')";   sleep 0.5; done
16:41:46 CPU: 0.00% | MEM: 1.07GiB / 3.822GiB (28.00%) | NET: 56.5kB / 15.9kB | DISK: 92.3MB / 61.4kB | PIDs: 16
16:41:48 CPU: 0.00% | MEM: 1.07GiB / 3.822GiB (28.00%) | NET: 56.6kB / 16kB | DISK: 92.3MB / 61.4kB | PIDs: 16
16:41:50 CPU: 0.00% | MEM: 1.07GiB / 3.822GiB (28.00%) | NET: 56.6kB / 16kB | DISK: 92.3MB / 61.4kB | PIDs: 16
16:41:52 CPU: 0.27% | MEM: 1.07GiB / 3.822GiB (28.00%) | NET: 57.1kB / 16.5kB | DISK: 92.3MB / 61.4kB | PIDs: 16
16:41:54 CPU: 28.56% | MEM: 1.101GiB / 3.822GiB (28.79%) | NET: 16.1MB / 129kB | DISK: 92.8MB / 119kB | PIDs: 20
16:41:56 CPU: 99.42% | MEM: 1.526GiB / 3.822GiB (39.92%) | NET: 16.1MB / 129kB | DISK: 92.8MB / 15.8MB | PIDs: 16
16:41:58 CPU: 99.85% | MEM: 1.551GiB / 3.822GiB (40.59%) | NET: 16.1MB / 129kB | DISK: 92.8MB / 15.8MB | PIDs: 16
16:42:00 CPU: 99.94% | MEM: 1.553GiB / 3.822GiB (40.64%) | NET: 16.1MB / 132kB | DISK: 92.8MB / 15.8MB | PIDs: 16
16:42:02 CPU: 99.86% | MEM: 1.623GiB / 3.822GiB (42.45%) | NET: 16.1MB / 132kB | DISK: 92.8MB / 15.8MB | PIDs: 16
16:42:04 CPU: 252.82% | MEM: 1.289GiB / 3.822GiB (33.72%) | NET: 16.1MB / 133kB | DISK: 92.8MB / 15.8MB | PIDs: 16
16:42:06 CPU: 315.72% | MEM: 1.352GiB / 3.822GiB (35.38%) | NET: 16.1MB / 135kB | DISK: 92.8MB / 15.8MB | PIDs: 16
16:42:09 CPU: 304.78% | MEM: 1.489GiB / 3.822GiB (38.96%) | NET: 16.1MB / 135kB | DISK: 92.8MB / 15.8MB | PIDs: 16
16:42:11 CPU: 331.27% | MEM: 1.489GiB / 3.822GiB (38.96%) | NET: 16.1MB / 137kB | DISK: 92.8MB / 15.8MB | PIDs: 16
16:42:13 CPU: 337.90% | MEM: 1.49GiB / 3.822GiB (38.97%) | NET: 16.1MB / 137kB | DISK: 92.8MB / 15.8MB | PIDs: 16
16:42:15 CPU: 323.71% | MEM: 1.72GiB / 3.822GiB (44.99%) | NET: 16.1MB / 138kB | DISK: 92.8MB / 15.8MB | PIDs: 16
16:42:17 CPU: 333.37% | MEM: 1.517GiB / 3.822GiB (39.68%) | NET: 16.1MB / 140kB | DISK: 92.8MB / 15.8MB | PIDs: 16
16:42:19 CPU: 342.51% | MEM: 1.517GiB / 3.822GiB (39.67%) | NET: 16.1MB / 140kB | DISK: 92.8MB / 15.8MB | PIDs: 16
16:42:21 CPU: 327.89% | MEM: 1.704GiB / 3.822GiB (44.57%) | NET: 16.1MB / 143kB | DISK: 92.8MB / 15.8MB | PIDs: 16
